Gene,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,expr(SI),expr(LI),log(exprSI),log(exprLI)
HNRNPAB,6.20E-85,-0.785873111,0.418,0.427,2.27E-80,0.977558721,1.685462822,-0.009857146,0.226719177
NARS2,8.24E-10,-0.785953907,0.116,0.126,3.02E-05,0.178154766,0.307199338,-0.749202554,-0.512579725
TLK1,3.40E-38,-0.786142141,0.377,0.38,1.24E-33,0.786600004,1.356477062,-0.104246056,0.132412454
SVIL,1.14E-107,-0.786691196,0.329,0.361,4.16E-103,0.689371649,1.189263472,-0.161546581,0.07527808
ZFHX3,1.12E-20,-0.78751818,0.224,0.237,4.09E-16,0.525201647,0.906571127,-0.279673921,-0.042598117
NME1,1.03E-71,-0.787542451,0.154,0.19,3.75E-67,0.280247882,0.483763949,-0.552457661,-0.3153665
KRT12,3.33E-14,-0.787592091,0.01,0.016,1.22E-09,0.016078341,0.027773514,-1.793758769,-1.556369163
BEND3,9.07E-11,-0.787852043,0.018,0.024,3.32E-06,0.023869662,0.041230255,-1.622153722,-1.384783983
PART1,8.61E-14,-0.788003341,0.009,0.013,3.15E-09,0.015688802,0.027108826,-1.804410223,-1.566889285
RFX3,4.08E-08,-0.788151633,0.213,0.217,0.001494388,0.487694788,0.842200158,-0.311851886,-0.074584681
PRMT6,2.56E-09,-0.788762918,0.032,0.039,9.37E-05,0.038789493,0.06703169,-1.4112859,-1.173719832
STK26,8.61E-08,-0.788881943,0.065,0.073,0.003152535,0.100607719,0.173842734,-0.997368697,-0.759843456
GSE1,1.55E-104,-0.789566187,0.185,0.231,5.66E-100,0.403185484,0.696947403,-0.394495113,-0.156799996
PRDX4,4.94E-12,-0.789599905,0.232,0.236,1.81E-07,0.426187462,0.736724797,-0.370399331,-0.132694712
RIC3,1.54E-14,-0.790130601,0.019,0.013,5.64E-10,0.027982143,0.048406876,-1.553119032,-1.315092943
NAA15,1.31E-09,-0.79034689,0.204,0.211,4.78E-05,0.348366785,0.602516255,-0.457963259,-0.220031232
SAXO1,3.62E-17,-0.790909883,0.008,0.013,1.33E-12,0.012120411,0.02098962,-1.916482665,-1.677995422
MAP2K6,1.46E-55,-0.791028437,0.188,0.22,5.33E-51,0.334868293,0.579444423,-0.475125972,-0.236988213
PDZRN3,2.66E-120,-0.791272239,0.076,0.116,9.75E-116,0.205800498,0.356177639,-0.686553579,-0.448333349
ASAP1,6.06E-16,-0.792036388,0.199,0.172,2.22E-11,0.380178159,0.658304203,-0.420012837,-0.181573372
ANLN,2.50E-07,-0.792232131,0.034,0.039,0.009150917,0.068207587,0.118137945,-1.166167316,-0.927610587
EPC1,7.02E-07,-0.793214499,0.341,0.329,0.025698969,0.660069677,1.143874794,-0.180410218,0.05837849
MERTK,1.20E-28,-0.793749442,0.074,0.057,4.40E-24,0.136925837,0.237390447,-0.863514597,-0.624536762
ZC3H12C,6.68E-65,-0.793807113,0.119,0.152,2.45E-60,0.191316446,0.331693854,-0.718247696,-0.479262576
FKBP1A,2.13E-31,-0.793964269,0.367,0.361,7.80E-27,0.82165648,1.424633829,-0.085309715,0.153703253
UBAP2,6.84E-43,-0.794041164,0.224,0.249,2.50E-38,0.408128418,0.707683284,-0.389203164,-0.150161063
MAP3K5,4.17E-11,-0.794307827,0.241,0.247,1.53E-06,0.494866262,0.858238788,-0.305512154,-0.066391862
ATP8B1,5.18E-253,-0.794841166,0.563,0.543,1.90E-248,1.64746058,2.85817629,0.216815032,0.456089012
TBC1D19,1.53E-07,-0.795515674,0.051,0.057,0.005598475,0.075421666,0.130928625,-1.12250388,-0.882965393
FZD3,7.46E-07,-0.796179825,0.031,0.036,0.027288727,0.044314415,0.076971275,-1.353454983,-1.113671322
EIF4G3,2.61E-168,-0.79649631,0.513,0.514,9.57E-164,1.491412214,2.590420302,0.173597695,0.413370235
TESMIN,1.18E-31,-0.796526813,0.035,0.048,4.34E-27,0.042161729,0.073250762,-1.375081586,-1.135187852
NFKB1,4.11E-16,-0.797181154,0.254,0.263,1.50E-11,0.472179143,0.820526358,-0.325893201,-0.085907464
XPO7,2.93E-08,-0.798361291,0.14,0.148,0.001071743,0.230133568,0.400250431,-0.638020029,-0.397668192
FGFR2,7.53E-254,-0.798918889,0.046,0.101,2.76E-249,0.13411983,0.23336076,-0.872507005,-0.631972169
KHDRBS3,1.89E-36,-0.799057498,0.053,0.071,6.92E-32,0.079759082,0.138797436,-1.098219851,-0.857618555
PPARG,1.35E-90,-0.799810028,0.433,0.434,4.94E-86,1.227648302,2.13719792,0.089073967,0.329844743
POLG2,1.25E-36,-0.800004342,0.091,0.113,4.58E-32,0.145510045,0.253367988,-0.837107026,-0.596248257
AC027097.2,2.86E-22,-0.801214817,0.069,0.084,1.05E-17,0.108618594,0.18929482,-0.964095823,-0.722861271
NAV1,7.78E-14,-0.802015026,0.056,0.066,2.85E-09,0.089404257,0.155898991,-1.0486418,-0.807156697
FAM174A,6.04E-19,-0.803856076,0.084,0.099,2.21E-14,0.120052286,0.209602216,-0.920629566,-0.678604131
MCF2L-AS1,1.27E-18,-0.803953316,0.016,0.024,4.64E-14,0.017850795,0.03118494,-1.748342438,-1.506055088
NDUFAF6,3.26E-11,-0.804819706,0.194,0.203,1.19E-06,0.324466725,0.566839471,-0.488829835,-0.246539916
