Gene,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,expr(small.intestine),expr(large.intestine),logexprSI,logexprLI
TAB1,1.88E-73,0.172132179,0.109,0.061,6.86E-69,0.122309182,0.108511404,-0.912540939,-0.964524619
TAB3,3.46E-78,0.106080266,0.193,0.126,1.27E-73,0.265224635,0.246381688,-0.576386139,-0.608391574
TACC1,2.47E-37,-0.693260606,0.246,0.276,9.02E-33,0.52340375,0.846280944,-0.28116317,-0.072485438
TACC2,2.26E-78,-0.975394514,0.319,0.356,8.27E-74,0.6225521,1.224026884,-0.205824298,0.087790957
TACC3,3.41E-21,-0.117390658,0.088,0.064,1.25E-16,0.145225519,0.157498405,-0.837957061,-0.802723841
TACO1,1.02E-103,0.153959128,0.141,0.076,3.73E-99,0.14633621,0.131482685,-0.834648197,-0.881131437
TACR1,4.91E-07,-1.047433774,0.024,0.031,0.017984676,0.039949645,0.082549931,-1.398487072,-1.083283285
TADA1,9.78E-32,-0.142661542,0.08,0.052,3.58E-27,0.077456446,0.085469565,-1.110942433,-1.068188504
TADA2B,5.05E-09,-0.357994654,0.038,0.028,0.000184728,0.035567228,0.045550069,-1.448949986,-1.341510962
TADA3,2.79E-48,-0.180399076,0.22,0.159,1.02E-43,0.311842073,0.353341444,-0.506065291,-0.451805421
TAF10,8.73E-10,-0.967324324,0.141,0.151,3.20E-05,0.156412771,0.305797925,-0.805727789,-0.514565466
TAF12,8.31E-173,0.300818565,0.23,0.126,3.04E-168,0.293413053,0.238147212,-0.53252057,-0.623154498
TAF1A,4.44E-20,-0.247415204,0.054,0.036,1.62E-15,0.053208503,0.063126501,-1.274018959,-1.199788283
TAF2,1.79E-28,-0.175293778,0.191,0.146,6.57E-24,0.267418823,0.30193059,-0.572808027,-0.520092885
TAF3,6.70E-20,-0.3028403,0.199,0.159,2.45E-15,0.308559929,0.380595151,-0.510660474,-0.419536749
TAF4,2.41E-24,-0.27634036,0.094,0.067,8.80E-20,0.112894592,0.136693038,-0.947326863,-0.864253603
TAF4B,5.76E-89,-1.275027889,0.087,0.135,2.11E-84,0.134182673,0.32471325,-0.872303562,-0.48849999
TAF5L,5.91E-08,-0.804692706,0.055,0.065,0.002161891,0.0643208,0.112328001,-1.191648566,-0.94951197
TAF6L,6.16E-23,-0.289509546,0.085,0.06,2.26E-18,0.091111712,0.111323468,-1.040425792,-0.953413273
TAF7,3.06E-13,-0.374410309,0.334,0.279,1.12E-08,0.613134285,0.794777697,-0.212444398,-0.099754329
TAF8,2.99E-129,0.16485362,0.174,0.093,1.09E-124,0.215374362,0.192076443,-0.666805996,-0.716525895
TAF9,5.00E-189,0.28114838,0.322,0.198,1.83E-184,0.545838046,0.449146762,-0.262936197,-0.347611727
TAF9B,1.77E-26,-0.180308924,0.071,0.047,6.50E-22,0.080656023,0.091356322,-1.093363197,-1.039261393
TAGLN2,1.66E-306,0.586942727,0.484,0.33,6.08E-302,1.709114893,1.137801319,0.232771259,0.056066433
TALDO1,6.45E-153,0.154977057,0.387,0.264,2.36E-148,0.857851319,0.770434822,-0.066587977,-0.113264096
TANGO2,8.19E-19,-0.3096932,0.055,0.038,3.00E-14,0.061284172,0.075923104,-1.212651679,-1.119626046
TANGO6,1.02E-17,-0.258703839,0.076,0.055,3.75E-13,0.099977543,0.119577474,-1.00009754,-0.922350624
TANK,4.80E-35,-0.823620608,0.29,0.308,1.76E-30,0.510504857,0.903487504,-0.292000122,-0.04407785
TAOK1,1.54E-10,-0.279762362,0.275,0.235,5.63E-06,0.53002552,0.643412611,-0.275703219,-0.191510431
TAOK2,1.51E-18,-0.311262319,0.066,0.047,5.52E-14,0.074767379,0.092735656,-1.126287843,-1.032753253
TAOK3,3.49E-49,-0.124987145,0.422,0.336,1.28E-44,1.103702371,1.203547307,0.042851975,0.080463166
TAP2,1.26E-25,0.474223844,0.035,0.019,4.62E-21,0.041665839,0.029948572,-1.380219864,-1.523623885
TAPBPL,5.25E-115,0.365077547,0.126,0.062,1.92E-110,0.134227093,0.10417385,-0.872159814,-0.982241286
TARID,3.39E-36,-0.167869137,0.038,0.018,1.24E-31,0.079891971,0.089713147,-1.097496863,-1.047143907
TARS2,6.18E-54,0.144900875,0.093,0.054,2.26E-49,0.100447474,0.09080751,-0.998060978,-1.041878232
TARSL2,1.90E-10,-0.517410031,0.204,0.171,6.96E-06,0.284169687,0.406724063,-0.546422251,-0.390700132
TAS2R4,9.79E-16,0.581660412,0.024,0.014,3.58E-11,0.021562961,0.014362551,-1.666291603,-1.842768427
TASOR,2.57E-23,-0.216024821,0.16,0.124,9.40E-19,0.236761698,0.274968878,-0.625688555,-0.560716458
TASOR2,8.06E-08,-0.329205332,0.203,0.175,0.002951808,0.3269444,0.410712281,-0.485526097,-0.38646231
TASP1,7.19E-35,-0.128962968,0.291,0.228,2.63E-30,0.51474568,0.562840322,-0.28840729,-0.249614797
TATDN1,8.10E-169,0.298909369,0.344,0.222,2.96E-164,0.625907656,0.50873643,-0.203489737,-0.293507162
TATDN2,1.76E-15,-0.217589842,0.062,0.045,6.45E-11,0.064719711,0.075218786,-1.18896343,-1.123673683
TAX1BP1,5.49E-14,-0.607678183,0.405,0.393,2.01E-09,0.952189334,1.450920781,-0.021276687,0.161643701
TAX1BP3,1.17E-117,0.108374928,0.309,0.207,4.30E-113,0.567383426,0.526282303,-0.246123354,-0.278781233
TBC1D10A,7.72E-13,-0.439108636,0.084,0.066,2.83E-08,0.097754131,0.132498704,-1.009864879,-0.877788368
TBC1D10B,8.94E-09,-0.400302866,0.091,0.074,0.000327215,0.091086093,0.12018033,-1.040547925,-0.920166609
TBC1D12,1.54E-07,-0.307260137,0.164,0.141,0.005634449,0.254409285,0.314759507,-0.594467042,-0.502021143
TBC1D15,1.06E-16,-0.797616154,0.267,0.275,3.87E-12,0.465559438,0.809221754,-0.332024865,-0.091932451
TBC1D16,9.53E-31,-0.251551901,0.214,0.163,3.49E-26,0.317947415,0.378476173,-0.497644702,-0.421961456
TBC1D17,1.56E-32,-0.157701545,0.106,0.073,5.71E-28,0.129970068,0.144945242,-0.886156653,-0.838796037
TBC1D19,1.27E-60,0.168940801,0.148,0.096,4.64E-56,0.220129877,0.195762903,-0.657321009,-0.708269604
TBC1D2,0,1.140448955,0.244,0.095,0,0.416051174,0.188678825,-0.380853248,-0.724276836
TBC1D22B,2.51E-17,-0.180831411,0.077,0.057,9.19E-13,0.090204286,0.102212744,-1.044772827,-0.990494954
TBC1D23,2.73E-14,-0.258532284,0.265,0.221,9.99E-10,0.433406766,0.518431651,-0.363104313,-0.285308492
TBC1D25,1.14E-09,-0.757715427,0.051,0.062,4.16E-05,0.061889866,0.104617161,-1.208380456,-0.98039707
TBC1D30,1.89E-14,-0.462601274,0.08,0.061,6.93E-10,0.096883405,0.133475026,-1.013750607,-0.874599984
TBC1D32,7.04E-108,0.221325375,0.273,0.18,2.58E-103,0.520098057,0.446085965,-0.283914768,-0.350581441
TBC1D7,1.08E-30,-0.209161834,0.122,0.087,3.96E-26,0.142382502,0.16455977,-0.846543379,-0.783676328
TBC1D8,2.82E-11,-0.815977069,0.159,0.172,1.03E-06,0.237886029,0.418770359,-0.623631063,-0.378024065
TBC1D8B,3.88E-81,0.307721225,0.135,0.078,1.42E-76,0.166554181,0.134518804,-0.77844446,-0.871217001
TBC1D9,1.18E-26,-0.311080925,0.209,0.162,4.32E-22,0.337208542,0.418318177,-0.472101433,-0.378493264
TBC1D9B,4.42E-28,-0.201069485,0.142,0.105,1.62E-23,0.184835794,0.212441173,-0.733213924,-0.672761309
TBCA,7.26E-161,0.16239141,0.614,0.504,2.66E-156,3.025219379,2.703121158,0.480756874,0.431865512
TBCC,2.49E-33,-0.375764119,0.164,0.12,9.12E-29,0.183344728,0.237860528,-0.736731574,-0.623677621
TBCCD1,1.10E-08,-0.408431895,0.069,0.056,0.00040252,0.086220407,0.114401793,-1.064389932,-0.941567168
TBCD,7.92E-35,-0.141102757,0.166,0.122,2.90E-30,0.263676506,0.290730949,-0.578928565,-0.536508734
TBCE.1,4.06E-20,0.186502634,0.036,0.022,1.49E-15,0.040625394,0.03565706,-1.391202412,-1.447854463
TBCK,1.43E-115,0.160658619,0.35,0.243,5.23E-111,0.771955371,0.690562528,-0.112407807,-0.160796992
TBK1,5.63E-38,-0.16974877,0.199,0.148,2.06E-33,0.287633013,0.323510308,-0.54116127,-0.490111877
TBKBP1,5.64E-25,0.254859187,0.02,0.008,2.06E-20,0.025664133,0.021465737,-1.590673405,-1.668254204
TBL1XR1,2.19E-09,-0.422434544,0.48,0.449,8.02E-05,1.514578534,2.029785431,0.180291797,0.307450131
TBL1Y,5.73E-68,0.194102407,0.113,0.065,2.10E-63,0.131722996,0.11509934,-0.880338399,-0.938927165
TBL3,7.15E-62,0.241515342,0.115,0.069,2.62E-57,0.123908061,0.104765994,-0.906900438,-0.979779664
TBPL1,1.02E-50,-0.203918092,0.135,0.089,3.73E-46,0.157826066,0.181750763,-0.801821268,-0.740523756
TBRG1,1.21E-149,0.281249979,0.303,0.193,4.43E-145,0.489575021,0.402817537,-0.310180749,-0.39489163
TBRG4,2.28E-92,0.162992951,0.207,0.131,8.34E-88,0.269135506,0.240342255,-0.570029003,-0.619169868
TBX10,5.17E-32,0.950928224,0.016,0.004,1.89E-27,0.013776101,0.007077901,-1.860873694,-2.150095531
TBX19,1.01E-12,-0.124426437,0.026,0.017,3.69E-08,0.027066471,0.029466519,-1.56756836,-1.530671173
TBX20,3.84E-59,-2.669373762,0.002,0.012,1.41E-54,0.002637747,0.016839016,-2.57876693,-1.773683301
TC2N,1.37E-96,-1.174280225,0.228,0.28,5.02E-92,0.351842837,0.794023317,-0.453651286,-0.100166744
TCAIM,2.80E-115,0.202464497,0.276,0.18,1.02E-110,0.448043438,0.389336733,-0.348679879,-0.40967462
TCEA1,5.71E-30,-0.220324362,0.367,0.296,2.09E-25,0.760968002,0.886487716,-0.118633605,-0.052327278
TCEA2,9.35E-35,-0.285825426,0.137,0.097,3.42E-30,0.163988333,0.199883843,-0.785187049,-0.699222309
TCEAL4,1.09E-56,-0.119391252,0.368,0.284,4.00E-52,0.777741126,0.844803822,-0.109164936,-0.07324413
TCEAL8,5.80E-33,-0.256478776,0.373,0.301,2.12E-28,0.792416035,0.946552117,-0.101046745,-0.023855469
TCF20,2.81E-22,-0.114930989,0.224,0.18,1.03E-17,0.357715796,0.387340673,-0.446461882,-0.411906898
TCF21,3.32E-07,-0.419514757,0.048,0.038,0.012155596,0.221038376,0.295600482,-0.65553232,-0.529294862
TCF3,1.16E-20,-0.267397004,0.152,0.119,4.26E-16,0.203332804,0.244702458,-0.69179255,-0.611361668
TCF7,2.63E-110,-1.630028754,0.071,0.122,9.64E-106,0.115670303,0.358020656,-0.936778126,-0.446091917
