Gene,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,Epithelial.cells,Goblet.cells,logEpithelialcells,logGobletcells
AC011287.1,4.82E-18,-1.120901149,0.033,0.046,1.76E-13,0.152661216,0.07014492,-0.816271282,-1.154003778
ANO6,1.12E-153,-1.121251425,0.187,0.265,4.11E-149,0.747036303,0.343359076,-0.126658292,-0.464251468
NBPF20,6.80E-11,-1.121326189,0.009,0.015,2.49E-06,0.026961064,0.012343517,-1.569262967,-1.908561096
CCND1,3.38E-119,-1.123537133,0.102,0.166,1.24E-114,0.346072126,0.158786034,-0.460833378,-0.799187698
TNFSF15,1.15E-17,-1.125171036,0.027,0.039,4.20E-13,0.091588961,0.041939031,-1.03815687,-1.377381609
C17orf67,5.09E-14,-1.126145698,0.026,0.037,1.86E-09,0.088398108,0.04044882,-1.053557028,-1.393094138
CA9,1.22E-40,-1.126709624,0.019,0.039,4.48E-36,0.076066709,0.034785716,-1.118805375,-1.458599049
TP53INP1,1.26E-15,-1.126863808,0.076,0.092,4.60E-11,0.305306061,0.139753001,-0.515264574,-0.854638858
SLC38A4,2.15E-34,-1.127661329,0.014,0.03,7.87E-30,0.061097559,0.027912005,-1.213976144,-1.554208962
GATD3A,8.31E-21,-1.131211803,0.014,0.025,3.04E-16,0.039005878,0.017757706,-1.408869942,-1.750613134
PLSCR2,8.05E-30,-1.131546944,0.012,0.026,2.95E-25,0.045681562,0.020800525,-1.340259052,-1.681925695
AADACL2-AS1,3.72E-11,-1.131910417,0.008,0.013,1.36E-06,0.022990534,0.010441104,-1.638450946,-1.981253559
MAN2A1,0,-1.131970947,0.338,0.453,0,1.606187962,0.732840879,0.205796367,-0.134990313
AGPAT5,1.12E-103,-1.132215396,0.12,0.181,4.11E-99,0.408740331,0.186423586,-0.388552507,-0.729499143
SLFNL1-AS1,2.08E-18,-1.133064249,0.027,0.039,7.61E-14,0.084034657,0.038265555,-1.075541568,-1.417191978
ZDHHC18,8.01E-21,-1.133484339,0.036,0.052,2.93E-16,0.114708405,0.052235908,-0.940404761,-1.282030848
MEGF9,6.83E-57,-1.134279621,0.094,0.134,2.50E-52,0.379149724,0.172676597,-0.421189255,-0.762766518
