Gene,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,Epithelial.cells,Goblet.cells,log(Epithelialcells),log(Gobletcells)
EPHX4,6.98E-07,-0.792331031,0.011,0.041,0.025547477,0.037293958,0.02066337,-1.428361526,-1.684798848
C2,4.17E-10,-0.792538686,0.034,0.088,1.53E-05,0.124665577,0.071102289,-0.904253448,-1.148116416
TMEM243,7.09E-28,-0.79319765,0.089,0.235,2.59E-23,0.354400724,0.20364122,-0.4505054,-0.69113431
TFAP4,7.33E-13,-0.793668636,0.025,0.085,2.68E-08,0.105423516,0.059945665,-0.977062505,-1.222242221
GNPTG,1.40E-21,-0.794008568,0.076,0.195,5.11E-17,0.286007906,0.164081463,-0.543621962,-0.78494048
PGPEP1,2.30E-25,-0.794182575,0.074,0.204,8.41E-21,0.314870866,0.180705967,-0.501867521,-0.743027507
CTXND1,6.94E-17,-0.794343231,0.02,0.093,2.54E-12,0.148185529,0.084574047,-0.829194205,-1.072762888
TMEM191B,2.58E-07,-0.794609184,0.021,0.057,0.009458993,0.055094177,0.030891194,-1.258894297,-1.5101653
CYB5R1,1.93E-16,-0.795518251,0.039,0.121,7.08E-12,0.13923033,0.079345063,-0.856266148,-1.100480091
LETMD1,4.64E-36,-0.796700236,0.126,0.315,1.70E-31,0.577598075,0.331632044,-0.238374263,-0.479343512
PEG10,1.25E-20,-0.797041371,0.044,0.145,4.59E-16,0.276992194,0.158546255,-0.557532469,-0.799844012
PRKAB1,2.41E-23,-0.797472293,0.048,0.16,8.82E-19,0.210291167,0.120121783,-0.677178968,-0.920378229
PGM2,3.35E-15,-0.797520699,0.044,0.123,1.23E-10,0.149218791,0.084980522,-0.826176483,-1.070680605
CALCOCO2,1.04E-35,-0.797797971,0.143,0.336,3.81E-31,0.669332812,0.384147387,-0.174357884,-0.415502117
PKIG,1.03E-21,-0.797847971,0.056,0.166,3.78E-17,0.261991614,0.149828715,-0.581712609,-0.824404945
RMDN3,4.75E-29,-0.798194106,0.081,0.228,1.74E-24,0.329184801,0.188433251,-0.482560225,-0.724842459
ATP11A,5.83E-35,-0.798544923,0.153,0.348,2.13E-30,0.899244835,0.516131124,-0.046122048,-0.287239951
NPHP1,9.78E-07,-0.798924933,0.006,0.032,0.035785821,0.037561187,0.020718733,-1.425260695,-1.683636812
SULT1A1,3.82E-24,-0.800181483,0.097,0.233,1.40E-19,0.402365315,0.230198525,-0.395379464,-0.637897463
MND1,7.54E-19,-0.800378717,0.033,0.121,2.76E-14,0.19898444,0.113385958,-0.701180882,-0.945440725
IRS1,1.64E-18,-0.800861989,0.062,0.163,6.01E-14,0.232687772,0.132693607,-0.633226438,-0.87715
AC022146.2,7.93E-09,-0.801203226,0.021,0.064,0.000290226,0.093374923,0.052714502,-1.029769743,-1.27806989
PAXIP1-AS1,1.95E-23,-0.80167115,0.062,0.18,7.14E-19,0.237363624,0.135301175,-0.624585835,-0.868698433
DUSP15,1.23E-12,-0.801817057,0.011,0.062,4.50E-08,0.065047679,0.036442454,-1.186768196,-1.43839239
EFEMP2,1.91E-07,-0.802574396,0.027,0.066,0.006996338,0.165508271,0.094019456,-0.781180299,-1.026782264
NLN,6.11E-19,-0.802633604,0.046,0.141,2.24E-14,0.208830909,0.118852503,-0.680205222,-0.924991669
MYLK,9.49E-09,-0.802698845,0.071,0.131,0.000347297,0.703001395,0.402143044,-0.153043813,-0.395619439
RHOD,2.40E-22,-0.803746703,0.054,0.164,8.79E-18,0.22547602,0.128295471,-0.64689964,-0.891788675
MAMDC4,3.01E-11,-0.803850457,0.124,0.209,1.10E-06,1.443606155,0.826053441,0.159448725,-0.082991855
LPAR6,4.56E-09,-0.803919961,0.043,0.096,0.000166973,0.193926727,0.110208816,-0.712362333,-0.957783662
BHLHE40,3.28E-19,-0.804212223,0.091,0.204,1.20E-14,0.446664396,0.254922784,-0.350018664,-0.593591348
SLC20A1,1.35E-27,-0.80434171,0.12,0.275,4.94E-23,1.008014091,0.576341743,0.003466603,-0.239319925
C19orf12,1.69E-12,-0.804830295,0.04,0.106,6.19E-08,0.137478967,0.077826385,-0.861763741,-1.108873143
ANLN,7.31E-15,-0.805182208,0.013,0.074,2.68E-10,0.121307577,0.068552468,-0.916112071,-1.163976908
RAB24,1.16E-08,-0.805687417,0.036,0.084,0.00042522,0.140050303,0.079250674,-0.853715946,-1.100997038
ZNF883,5.41E-08,-0.80628928,0.013,0.048,0.001978542,0.055145258,0.030664233,-1.25849183,-1.513367895
KNOP1,5.08E-23,-0.806844718,0.099,0.234,1.86E-18,0.405830408,0.231114486,-0.391655415,-0.636172832
THOC6,4.65E-34,-0.8069011,0.075,0.238,1.70E-29,0.365391402,0.207990146,-0.437241676,-0.68195724
FTCDNL1,1.55E-10,-0.807112328,0.025,0.077,5.69E-06,0.094314968,0.053032699,-1.025419378,-1.275456272
NUDT4,2.16E-32,-0.807250423,0.159,0.343,7.92E-28,0.828133344,0.472382699,-0.081899729,-0.325706017
TMEM69,1.72E-29,-0.807883917,0.073,0.218,6.29E-25,0.307267478,0.174646411,-0.512483405,-0.757840336
ARHGAP18,1.33E-44,-0.808148901,0.17,0.4,4.86E-40,1.078185721,0.614896511,0.032693576,-0.211197971
