"","rownames.merged.gut...RNA....counts."
"33795","AL121827.2"
"33796","ARFGAP1"
"33797","COL20A1"
"33798","CHRNA4"
"33799","AL121827.1"
"33800","KCNQ2"
"33801","AL353658.2"
"33802","AL353658.1"
"33803","EEF1A2"
"33804","AL121829.1"
"33805","PPDPF"
"33806","PTK6"
"33807","SRMS"
"33808","AL121829.2"
"33809","FNDC11"
"33810","HELZ2"
"33811","GMEB2"
"33812","MHENCR"
"33813","STMN3"
"33814","RTEL1"
"33815","TNFRSF6B"
"33816","ARFRP1"
"33817","ZGPAT"
"33818","AL121845.4"
"33819","LIME1"
"33820","SLC2A4RG"
"33821","ZBTB46"
"33822","AL121845.1"
"33823","ZBTB46-AS1"
"33824","AL118506.1"
"33825","ABHD16B"
"33826","TPD52L2"
"33827","DNAJC5"
"33828","UCKL1"
"33829","UCKL1-AS1"
"33830","ZNF512B"
"33831","SAMD10"
"33832","PRPF6"
"33833","C20orf204"
"33834","SOX18"
"33835","TCEA2"
"33836","AL355803.1"
"33837","RGS19"
"33838","OPRL1"
"33839","LKAAEAR1"
"33840","AL121581.2"
"33841","MYT1"
"33842","NPBWR2"
"33843","PCMTD2"
"33844","LINC00266-1"
"33845","FP565260.4"
"33846","FP565260.3"
"33847","FP565260.5"
"33848","GATD3B"
"33849","FP565260.1"
"33850","FP565260.6"
"33851","AC079801.1"
"33852","LINC01670"
"33853","CU633967.1"
"33854","FP236315.3"
"33855","FP236315.1"
"33856","CU639417.1"
"33857","LINC01669"
"33858","CU639417.4"
"33859","CU639417.5"
"33860","SIK1B"
"33861","CU633906.5"
"33862","CU633906.1"
"33863","CU633906.2"
"33864","CBSL"
"33865","U2AF1L5"
"33866","FP236240.1"
"33867","CRYAA2"
"33868","CU638689.4"
"33869","CU638689.1"
"33870","CU638689.5"
"33871","FP475955.3"
"33872","FP475955.1"
"33873","FP475955.2"
"33874","CU634019.5"
"33875","CU634019.2"
"33876","CU634019.1"
"33877","CU633904.1"
"33878","FP236241.1"
"33879","SMIM11B"
"33880","FAM243B"
"33881","SMIM34B"
"33882","KCNE1B"
"33883","FP671120.4"
"33884","FP671120.6"
"33885","FP671120.7"
"33886","FP236383.3"
"33887","FP236383.4"
"33888","FP236383.5"
"33889","LINC01666"
"33890","CR381670.2"
"33891","CR392039.4"
"33892","CR381653.1"
"33893","AC124864.3"
"33894","AC018692.1"
"33895","CR382287.2"
"33896","AP003900.1"
"33897","TPTE"
"33898","IGHV1OR21-1"
"33899","AP001464.1"
"33900","AJ239318.1"
"33901","LINC01674"
"33902","POTED"
"33903","AL050303.1"
"33904","AP001347.1"
"33905","LIPI"
"33906","RBM11"
"33907","HSPA13"
"33908","SAMSN1"
"33909","SAMSN1-AS1"
"33910","AF127936.2"
"33911","AF127936.1"
"33912","LINC02246"
"33913","AF127577.3"
"33914","NRIP1"
"33915","AF127577.1"
"33916","AF127577.2"
"33917","AF127577.5"
"33918","AJ009632.2"
"33919","AJ009632.1"
"33920","USP25"
"33921","MIR99AHG"
"33922","AP001172.1"
"33923","AP001172.2"
"33924","AP000962.3"
"33925","AP000962.1"
"33926","AF130359.1"
"33927","AF212831.1"
"33928","LINC01549"
"33929","CXADR"
"33930","BTG3"
"33931","BTG3-AS1"
"33932","AP000432.1"
"33933","C21orf91-OT1"
"33934","C21orf91"
"33935","AL109761.1"
"33936","CHODL-AS1"
"33937","CHODL"
"33938","AF130417.1"
"33939","TMPRSS15"
"33940","AL109763.1"
"33941","MIR548XHG"
"33942","AF240627.1"
"33943","AL157359.2"
"33944","AL157359.1"
"33945","AP000431.2"
"33946","AP000431.1"
"33947","AP000855.1"
"33948","LINC01683"
"33949","LINC02573"
"33950","LINC00320"
"33951","NCAM2"
"33952","AP001136.1"
"33953","AP001117.1"
"33954","AF241725.1"
"33955","LINC00317"
"33956","LINC01425"
"33957","AP000472.1"
"33958","LINC01687"
"33959","LINC00308"
"33960","AP000561.1"
"33961","AP000959.1"
"33962","AP001116.1"
"33963","AP001255.1"
"33964","AP000459.2"
"33965","AP000459.1"
"33966","AP000961.1"
"33967","AP000474.2"
"33968","AP000474.1"
"33969","AP000477.2"
"33970","AP000477.3"
"33971","AP000477.1"
"33972","AP000470.1"
"33973","LINC01689"
"33974","LINC01684"
"33975","LINC01692"
"33976","AP000402.1"
"33977","AP000146.1"
"33978","AP000235.1"
"33979","AP000233.2"
"33980","AP000233.1"
"33981","AP001341.1"
"33982","LINC00158"
"33983","AP000221.1"
"33984","MIR155HG"
"33985","AP000223.1"
"33986","MRPL39"
"33987","JAM2"
"33988","AP000224.1"
"33989","ATP5PF"
"33990","GABPA"
"33991","APP"
"33992","AP001442.1"
"33993","AP001439.1"
"33994","AP000229.1"
"33995","AP001595.2"
"33996","AP001595.1"
"33997","AP001596.1"
"33998","CYYR1-AS1"
"33999","AP001596.2"
"34000","CYYR1"
"34001","ADAMTS1"
"34002","AP001599.1"
"34003","ADAMTS5"
"34004","AP001605.1"
"34005","AP001604.1"
"34006","LINC01673"
"34007","LINC00113"
"34008","AJ006995.1"
"34009","LINC00314"
"34010","LINC01697"
"34011","LINC01695"
"34012","AF165147.1"
"34013","LINC00161"
"34014","N6AMT1"
"34015","LTN1"
"34016","RWDD2B"
"34017","AF129075.2"
"34018","USP16"
"34019","CCT8"
"34020","AF129075.1"
"34021","AF129075.3"
"34022","MAP3K7CL"
"34023","AF124730.1"
"34024","LINC00189"
"34025","BACH1"
"34026","BACH1-IT1"
"34027","AP000240.1"
"34028","BACH1-AS1"
"34029","BACH1-IT2"
"34030","BACH1-IT3"
"34031","GRIK1"
"34032","AP000238.1"
"34033","GRIK1-AS1"
"34034","AF096876.1"
"34035","CLDN17"
"34036","LINC00307"
"34037","CLDN8"
"34038","KRTAP24-1"
"34039","KRTAP25-1"
"34040","KRTAP26-1"
"34041","KRTAP27-1"
"34042","KRTAP23-1"
"34043","KRTAP13-2"
"34044","KRTAP13-1"
"34045","KRTAP13-3"
"34046","KRTAP13-4"
"34047","KRTAP15-1"
"34048","KRTAP19-1"
"34049","KRTAP19-2"
"34050","KRTAP19-3"
"34051","KRTAP19-4"
"34052","KRTAP19-5"
"34053","KRTAP19-6"
"34054","KRTAP19-7"
"34055","KRTAP22-2"
"34056","KRTAP6-3"
"34057","KRTAP6-2"
"34058","KRTAP22-1"
"34059","KRTAP6-1"
"34060","KRTAP20-1"
"34061","KRTAP20-4"
"34062","KRTAP20-2"
"34063","KRTAP20-3"
"34064","KRTAP21-3"
"34065","KRTAP21-2"
"34066","KRTAP21-1"
"34067","KRTAP8-1"
"34068","KRTAP7-1"
"34069","KRTAP11-1"
"34070","KRTAP19-8"
"34071","TIAM1"
"34072","AP000248.1"
"34073","AP000251.1"
"34074","AP000253.1"
"34075","SOD1"
"34076","AP000254.2"
"34077","SCAF4"
"34078","AP000255.1"
"34079","HUNK"
"34080","HUNK-AS1"
"34081","LINC00159"
"34082","AP000265.1"
"34083","MIS18A"
"34084","MIS18A-AS1"
"34085","MRAP"
"34086","AP000266.1"
"34087","URB1"
"34088","URB1-AS1"
"34089","EVA1C"
"34090","TCP10L"
"34091","CFAP298"
"34092","SYNJ1"
"34093","PAXBP1-AS1"
"34094","PAXBP1"
"34095","C21orf62-AS1"
"34096","C21orf62"
"34097","AP000281.2"
"34098","AP000282.1"
"34099","LINC01690"
"34100","OLIG2"
"34101","LINC00945"
"34102","OLIG1"
"34103","AP000289.1"
"34104","AP000290.1"
"34105","LINC01548"
"34106","IFNAR2"
"34107","IL10RB-DT"
"34108","IL10RB"
"34109","IFNAR1"
"34110","IFNGR2"
"34111","TMEM50B"
"34112","AP000302.1"
"34113","DNAJC28"
"34114","GART"
"34115","SON"
"34116","DONSON"
"34117","CRYZL1"
"34118","ITSN1"
"34119","ATP5PO"
"34120","LINC00649"
"34121","AP000569.1"
"34122","MRPS6"
"34123","SLC5A3"
"34124","LINC00310"
"34125","AP000317.1"
"34126","AP000320.1"
"34127","KCNE2"
"34128","SMIM11A"
"34129","FAM243A"
"34130","AP000322.2"
"34131","SMIM34A"
"34132","AP000322.1"
"34133","KCNE1"
"34134","RCAN1"
"34135","CLIC6"
"34136","LINC00160"
"34137","LINC01426"
"34138","RUNX1"
"34139","AP000331.1"
"34140","AF015262.1"
"34141","AF015720.1"
"34142","LINC01436"
"34143","SETD4"
"34144","AP000688.4"
"34145","AP000688.1"
"34146","CBR1"
"34147","AP000688.3"
"34148","AP000688.2"
"34149","CBR3-AS1"
"34150","CBR3"
"34151","DOP1B"
"34152","AP000692.2"
"34153","MORC3"
"34154","AP000692.1"
"34155","CHAF1B"
"34156","AP000695.1"
"34157","AP000695.2"
"34158","CLDN14"
"34159","AP000696.2"
"34160","AP000696.3"
"34161","AP000696.1"
"34162","AP000697.1"
"34163","SIM2"
"34164","HLCS"
"34165","HLCS-IT1"
"34166","AP000704.1"
"34167","RIPPLY3"
"34168","PIGP"
"34169","TTC3"
"34170","AP001429.1"
"34171","TTC3-AS1"
"34172","DSCR9"
"34173","AP001432.1"
"34174","VPS26C"
"34175","AP001412.1"
"34176","AP001437.2"
"34177","AP001437.1"
"34178","DYRK1A"
"34179","AP001407.1"
"34180","KCNJ6"
"34181","KCNJ6-AS1"
"34182","DSCR4"
"34183","DSCR4-IT1"
"34184","DSCR8"
"34185","KCNJ15"
"34186","DSCR10"
"34187","AP001434.1"
"34188","LINC01423"
"34189","ERG"
"34190","AP001037.1"
"34191","LINC00114"
"34192","ETS2"
"34193","AP001042.1"
"34194","AP001042.2"
"34195","AP001042.3"
"34196","AP001043.1"
"34197","LINC01700"
"34198","AF064858.1"
"34199","AF064858.2"
"34200","PSMG1"
"34201","BRWD1"
"34202","AF129408.1"
"34203","BRWD1-IT1"
"34204","BRWD1-AS2"
"34205","BRWD1-AS1"
"34206","HMGN1"
"34207","GET1"
"34208","LCA5L"
"34209","SH3BGR"
"34210","B3GALT5"
"34211","B3GALT5-AS1"
"34212","AF064860.1"
"34213","AF064860.2"
"34214","IGSF5"
"34215","PCP4"
"34216","DSCAM"
"34217","DSCAM-AS1"
"34218","DSCAM-IT1"
"34219","AF064866.1"
"34220","AL773573.1"
"34221","LINC00323"
"34222","BACE2"
"34223","PLAC4"
"34224","BACE2-IT1"
"34225","FAM3B"
"34226","MX2"
"34227","MX1"
"34228","AP001610.2"
"34229","TMPRSS2"
"34230","AP001610.3"
"34231","AP006748.1"
"34232","AP006748.2"
"34233","LINC00111"
"34234","LINC00479"
"34235","LINC00112"
"34236","RIPK4"
"34237","AP001615.1"
"34238","PRDM15"
"34239","AP001619.2"
"34240","AP001619.1"
"34241","C2CD2"
"34242","ZBTB21"
"34243","ZNF295-AS1"
"34244","UMODL1"
"34245","UMODL1-AS1"
"34246","ABCG1"
"34247","TFF3"
"34248","TFF2"
"34249","TFF1"
"34250","TMPRSS3"
"34251","UBASH3A"
"34252","RSPH1"
"34253","SLC37A1"
"34254","AP001625.3"
"34255","AP001625.1"
"34256","AP001625.2"
"34257","LINC01671"
"34258","AP001626.1"
"34259","PDE9A"
"34260","AP001627.1"
"34261","LINC01668"
"34262","AP001628.2"
"34263","AP001628.1"
"34264","WDR4"
"34265","NDUFV3"
"34266","ERVH48-1"
"34267","AP001630.1"
"34268","PKNOX1"
"34269","CBS"
"34270","U2AF1"
"34271","AP001631.2"
"34272","FRGCA"
"34273","AP001631.1"
"34274","CRYAA"
"34275","LINC00322"
"34276","LINC01679"
"34277","AP001046.1"
"34278","SIK1"
"34279","LINC00319"
"34280","LINC00313"
"34281","AP001048.1"
"34282","HSF2BP"
"34283","H2BFS"
"34284","RRP1B"
"34285","PDXK"
"34286","AP001053.1"
"34287","CSTB"
"34288","RRP1"
"34289","AATBC"
"34290","AGPAT3"
"34291","TRAPPC10"
"34292","PWP2"
"34293","GATD3A"
"34294","LINC01678"
"34295","AP001056.2"
"34296","AP001056.1"
"34297","AP001057.1"
"34298","ICOSLG"
"34299","AP001059.3"
"34300","AP001059.2"
"34301","DNMT3L"
"34302","AP001059.1"
"34303","AIRE"
"34304","PFKL"
"34305","AP001062.3"
"34306","CFAP410"
"34307","AP001062.1"
"34308","AP001062.2"
"34309","AP001063.1"
"34310","TRPM2"
"34311","TRPM2-AS"
"34312","LRRC3-DT"
"34313","LRRC3"
"34314","AP001065.3"
"34315","LINC02575"
"34316","AP001065.4"
"34317","TSPEAR"
"34318","TSPEAR-AS1"
"34319","TSPEAR-AS2"
"34320","AP001066.1"
"34321","KRTAP10-1"
"34322","KRTAP10-2"
"34323","KRTAP10-3"
"34324","KRTAP10-4"
"34325","KRTAP10-5"
"34326","KRTAP10-6"
"34327","KRTAP10-7"
"34328","KRTAP10-8"
"34329","KRTAP10-9"
"34330","KRTAP10-10"
"34331","KRTAP10-11"
"34332","KRTAP12-4"
"34333","KRTAP12-3"
"34334","KRTAP12-2"
"34335","KRTAP12-1"
"34336","KRTAP10-12"
"34337","UBE2G2"
"34338","LINC01424"
"34339","SUMO3"
"34340","PTTG1IP"
"34341","ITGB2"
"34342","ITGB2-AS1"
"34343","AL844908.2"
"34344","LINC01547"
"34345","AL844908.1"
"34346","FAM207A"
"34347","AP001505.1"
"34348","LINC00163"
"34349","LINC00165"
"34350","PICSAR"
"34351","ADARB1"
"34352","AL133499.1"
"34353","LINC00334"
"34354","POFUT2"
"34355","LINC00205"
"34356","BX322557.2"
"34357","LINC00315"
"34358","BX322557.1"
"34359","LINC00316"
"34360","BX322559.1"
"34361","BX322562.1"
"34362","COL18A1"
"34363","COL18A1-AS2"
"34364","COL18A1-AS1"
"34365","SLC19A1"
"34366","LINC01694"
"34367","AL133493.1"
"34368","AL133493.2"
"34369","PCBP3"
"34370","AL133492.1"
"34371","AL592528.1"
"34372","AJ011931.2"
"34373","AJ011931.1"
"34374","AJ239328.1"
"34375","AJ011932.1"
"34376","COL6A1"
"34377","AP001476.1"
"34378","AP001476.3"
"34379","AP001476.2"
"34380","AP001471.1"
"34381","COL6A2"
"34382","FTCD"
"34383","FTCD-AS1"
"34384","SPATC1L"
"34385","AP001468.1"
"34386","LSS"
"34387","AP001469.1"
"34388","MCM3AP-AS1"
"34389","MCM3AP"
"34390","AP001469.2"
"34391","AP001469.3"
"34392","YBEY"
"34393","C21orf58"
"34394","PCNT"
"34395","AP000471.1"
"34396","DIP2A"
"34397","DIP2A-IT1"
"34398","S100B"
"34399","PRMT2"
"34400","CU104787.1"
"34401","AP000542.3"
"34402","AP000542.2"
"34403","OR11H1"
"34404","AP000534.1"
"34405","AP000532.2"
"34406","POTEH"
"34407","POTEH-AS1"
"34408","AP000527.1"
"34409","DUXAP8"
"34410","AP000525.1"
"34411","AC145543.1"
"34412","AP000547.2"
"34413","CCT8L2"
"34414","AP000547.4"
"34415","AP000547.3"
"34416","AP000365.1"
"34417","ANKRD62P1-PARP4P3"
"34418","AC005301.2"
"34419","LINC01665"
"34420","XKR3"
"34421","AC007064.2"
"34422","IGKV1OR22-5"
"34423","IGKV2OR22-4"
"34424","IGKV2OR22-3"
"34425","IGKV3OR22-2"
"34426","IGKV1OR22-1"
"34427","GAB4"
"34428","AC006946.2"
"34429","AC006946.3"
"34430","IL17RA"
"34431","TMEM121B"
"34432","LINC01664"
"34433","HDHD5"
"34434","HDHD5-AS1"
"34435","ADA2"
"34436","CECR3"
"34437","CECR2"
"34438","AC007666.2"
"34439","SLC25A18"
"34440","AC007666.1"
"34441","ATP6V1E1"
"34442","BCL2L13"
"34443","BID"
"34444","LINC00528"
"34445","MICAL3"
"34446","AC016026.2"
"34447","AC016027.3"
"34448","AC016027.2"
"34449","LINC01634"
"34450","AC016027.1"
"34451","PEX26"
"34452","TUBA8"
"34453","AC008079.1"
"34454","USP18"
"34455","FAM230D"
"34456","FAM230J"
"34457","AC011718.1"
"34458","FAM230A"
"34459","AC023490.2"
"34460","AC023490.4"
"34461","GGTLC3"
"34462","TMEM191B"
"34463","RIMBP3"
"34464","AC023490.5"
"34465","FAM230E"
"34466","FAM230F"
"34467","AC008103.1"
"34468","DGCR6"
"34469","PRODH"
"34470","AC007326.5"
"34471","AC007326.2"
"34472","DGCR9"
"34473","DGCR10"
"34474","DGCR2"
"34475","DGCR11"
"34476","AC004461.2"
"34477","AC004471.1"
"34478","AC004471.2"
"34479","ESS2"
"34480","TSSK2"
"34481","GSC2"
"34482","LINC01311"
"34483","SLC25A1"
"34484","CLTCL1"
"34485","AC000072.1"
"34486","AC000085.1"
"34487","HIRA"
"34488","C22orf39"
"34489","MRPL40"
"34490","AC000068.1"
"34491","UFD1"
"34492","AC000068.3"
"34493","AC000068.2"
"34494","CDC45"
"34495","AC000082.1"
"34496","CLDN5"
"34497","LINC00895"
"34498","AC000067.1"
"34499","SEPTIN5"
"34500","GP1BB"
"34501","TBX1"
"34502","GNB1L"
"34503","RTL10"
"34504","TXNRD2"
"34505","COMT"
"34506","ARVCF"
"34507","TANGO2"
"34508","AC006547.1"
"34509","AC006547.3"
"34510","DGCR8"
"34511","AC006547.2"
"34512","TRMT2A"
"34513","RANBP1"
"34514","ZDHHC8"
"34515","CCDC188"
"34516","AC007663.2"
"34517","LINC00896"
"34518","RTN4R"
"34519","DGCR6L"
"34520","AC007663.4"
"34521","AC007663.3"
"34522","FAM230G"
"34523","AC007731.2"
"34524","AC007731.5"
"34525","USP41"
"34526","ZNF74"
"34527","SCARF2"
"34528","KLHL22"
"34529","MED15"
"34530","AC007731.3"
"34531","PI4KA"
"34532","SERPIND1"
"34533","SNAP29"
"34534","AC007308.1"
"34535","CRKL"
"34536","LINC01637"
"34537","AIFM3"
"34538","AC002470.1"
"34539","LZTR1"
"34540","THAP7"
"34541","THAP7-AS1"
"34542","P2RX6"
"34543","SLC7A4"
"34544","AC002472.1"
"34545","LRRC74B"
"34546","AP000550.1"
"34547","FAM230B"
"34548","AP000550.2"
"34549","GGT2"
"34550","FAM230H"
"34551","AP000552.2"
"34552","LINC01651"
"34553","AP000552.4"
"34554","RIMBP3B"
"34555","HIC2"
"34556","TMEM191C"
"34557","RIMBP3C"
"34558","UBE2L3"
"34559","YDJC"
"34560","CCDC116"
"34561","AP000553.3"
"34562","SDF2L1"
"34563","AP000553.2"
"34564","PPIL2"
"34565","YPEL1"
"34566","AP000553.9"
"34567","AP000553.8"
"34568","MAPK1"
"34569","PPM1F"
"34570","AC245452.1"
"34571","TOP3B"
"34572","IGLVI-70"
"34573","IGLV4-69"
"34574","IGLVI-68"
"34575","AC245452.5"
"34576","IGLV10-54"
"34577","IGLV10-67"
"34578","IGLVIV-66-1"
"34579","IGLVV-66"
"34580","IGLVIV-65"
"34581","IGLVIV-64"
"34582","IGLVI-63"
"34583","IGLV1-62"
"34584","IGLV8-61"
"34585","IGLV4-60"
"34586","IGLVIV-59"
"34587","IGLVV-58"
"34588","IGLV6-57"
"34589","IGLVI-56"
"34590","IGLV11-55"
"34591","IGLVIV-53"
"34592","VPREB1"
"34593","AC245060.6"
"34594","AC245060.5"
"34595","AC245060.2"
"34596","IGLV5-52"
"34597","IGLV1-51"
"34598","IGLV1-50"
"34599","IGLV9-49"
"34600","IGLV5-48"
"34601","IGLV1-47"
"34602","IGLV7-46"
"34603","IGLV5-45"
"34604","IGLV1-44"
"34605","IGLV7-43"
"34606","IGLVI-42"
"34607","IGLVVII-41-1"
"34608","IGLV1-41"
"34609","IGLV1-40"
"34610","IGLVI-38"
"34611","IGLV5-37"
"34612","IGLV1-36"
"34613","IGLV7-35"
"34614","ZNF280B"
"34615","ZNF280A"
"34616","PRAME"
"34617","AC246793.1"
"34618","IGLV2-34"
"34619","IGLV2-33"
"34620","IGLV3-32"
"34621","IGLV3-31"
"34622","IGLV3-30"
"34623","AC244250.4"
"34624","GGTLC2"
"34625","IGLV3-29"
"34626","IGLV2-28"
"34627","IGLV3-27"
"34628","IGLV3-26"
"34629","IGLVVI-25-1"
"34630","IGLV3-25"
"34631","AC244250.1"
"34632","IGLV3-24"
"34633","IGLV2-23"
"34634","IGLVVI-22-1"
"34635","IGLV3-22"
"34636","IGLV3-21"
"34637","IGLVI-20"
"34638","IGLV3-19"
"34639","IGLV2-18"
"34640","IGLV3-17"
"34641","IGLV3-16"
"34642","IGLV3-15"
"34643","IGLV2-14"
"34644","IGLV3-13"
"34645","IGLV3-12"
"34646","IGLV2-11"
"34647","IGLV3-10"
"34648","IGLV3-9"
"34649","IGLV2-8"
"34650","IGLV3-7"
"34651","IGLV3-6"
"34652","IGLV2-5"
"34653","IGLV3-4"
"34654","IGLV4-3"
"34655","IGLV3-2"
"34656","IGLV3-1"
"34657","IGLJ1"
"34658","IGLC1"
"34659","IGLJ2"
"34660","IGLC2"
"34661","IGLJ3"
"34662","IGLC3"
"34663","IGLJ4"
"34664","IGLC4"
"34665","IGLJ5"
"34666","IGLC5"
"34667","IGLJ6"
"34668","IGLC6"
"34669","IGLJ7"
"34670","IGLC7"
"34671","RSPH14"
"34672","GNAZ"
"34673","RAB36"
"34674","BCR"
"34675","LINC02556"
"34676","LINC01659"
"34677","FAM230I"
"34678","AP000345.3"
"34679","LINC02557"
"34680","PCAT14"
"34681","AP000345.1"
"34682","IGLL1"
"34683","AP000345.2"
"34684","DRICH1"
"34685","RGL4"
"34686","ZNF70"
"34687","VPREB3"
"34688","C22orf15"
"34689","CHCHD10"
"34690","MMP11"
"34691","SMARCB1"
"34692","DERL3"
"34693","AP000350.5"
"34694","SLC2A11"
"34695","AP000350.7"
"34696","MIF"
"34697","MIF-AS1"
"34698","AP000350.6"
"34699","GSTT2B"
"34700","DDTL"
"34701","AC253536.6"
"34702","DDT"
"34703","GSTT4"
"34704","CABIN1"
"34705","AC253536.3"
"34706","SUSD2"
"34707","GGT5"
"34708","SPECC1L"
"34709","ADORA2A"
"34710","ADORA2A-AS1"
"34711","UPB1"
"34712","AP000355.1"
"34713","GUCD1"
"34714","SNRPD3"
"34715","GGT1"
"34716","LRRC75B"
"34717","GGT1.1"
"34718","AP000356.1"
"34719","AP000356.2"
"34720","AP000357.2"
"34721","PIWIL3"
"34722","SGSM1"
"34723","TMEM211"
"34724","KIAA1671"
"34725","AL022323.3"
"34726","AL022323.5"
"34727","AL022323.2"
"34728","AL022323.4"
"34729","AL022323.1"
"34730","CRYBB3"
"34731","Z99916.1"
"34732","CRYBB2"
"34733","Z99916.3"
"34734","AL022332.1"
"34735","LRP5L"
"34736","AL022324.3"
"34737","AL008721.1"
"34738","IGLVIVOR22-1"
"34739","AL008721.2"
"34740","AL022329.1"
"34741","GRK3"
"34742","AL022329.2"
"34743","MYO18B"
"34744","AL022329.3"
"34745","Z98949.1"
"34746","Z98949.3"
"34747","LINC02559"
"34748","AL022337.1"
"34749","SEZ6L"
"34750","AL080273.1"
"34751","ASPHD2"
"34752","HPS4"
"34753","SRRD"
"34754","TFIP11"
"34755","Z95115.1"
"34756","TPST2"
"34757","Z95115.2"
"34758","CRYBB1"
"34759","CRYBA4"
"34760","MIAT"
"34761","Z99774.1"
"34762","MIATNB"
"34763","LINC01422"
"34764","Z97353.2"
"34765","AL008638.3"
"34766","AL008638.5"
"34767","AL008638.4"
"34768","AL008638.2"
"34769","AL008638.6"
"34770","AL008638.1"
"34771","AL021153.1"
"34772","LINC01638"
"34773","AL020994.3"
"34774","AL020994.1"
"34775","LINC02554"
"34776","AL020994.2"
"34777","AL049536.1"
"34778","AL050402.2"
"34779","AL050402.1"
"34780","AL133456.1"
"34781","AL121885.2"
"34782","AL121885.3"
"34783","AL121885.1"
"34784","MN1"
"34785","PITPNB"
"34786","TTC28-AS1"
"34787","TTC28"
"34788","CHEK2"
"34789","HSCB"
"34790","CCDC117"
"34791","XBP1"
"34792","Z93930.2"
"34793","Z93930.3"
"34794","ZNRF3"
"34795","ZNRF3-IT1"
"34796","ZNRF3-AS1"
"34797","C22orf31"
"34798","KREMEN1"
"34799","AL021393.1"
"34800","EMID1"
"34801","RHBDD3"
"34802","AL031186.1"
"34803","EWSR1"
"34804","GAS2L1"
"34805","RASL10A"
"34806","AC002059.1"
"34807","AP1B1"
"34808","RFPL1S"
"34809","RFPL1"
"34810","NEFH"
"34811","AC000035.1"
"34812","THOC5"
"34813","AC005529.1"
"34814","NIPSNAP1"
"34815","NF2"
"34816","AC004882.1"
"34817","AC004882.2"
"34818","CABP7"
"34819","ZMAT5"
"34820","AC004882.3"
"34821","UQCR10"
"34822","ASCC2"
"34823","MTMR3"
"34824","AC003681.1"
"34825","HORMAD2-AS1"
"34826","HORMAD2"
"34827","AC002378.1"
"34828","LIF-AS1"
"34829","LIF"
"34830","AC004264.1"
"34831","OSM"
"34832","CASTOR1"
"34833","TBC1D10A"
"34834","SF3A1"
"34835","CCDC157"
"34836","RNF215"
"34837","SEC14L2"
"34838","AC004832.5"
"34839","AC004832.4"
"34840","MTFP1"
"34841","AC004832.6"
"34842","SEC14L3"
"34843","AC004832.1"
"34844","SEC14L4"
"34845","SEC14L6"
"34846","GAL3ST1"
"34847","PES1"
"34848","AC005006.1"
"34849","TCN2"
"34850","SLC35E4"
"34851","DUSP18"
"34852","OSBP2"
"34853","MORC2-AS1"
"34854","MORC2"
"34855","TUG1"
"34856","AC004542.2"
"34857","AC004542.1"
"34858","AC005005.4"
"34859","SMTN"
"34860","AC005005.3"
"34861","SELENOM"
"34862","INPP5J"
"34863","PLA2G3"
"34864","RNF185"
"34865","RNF185-AS1"
"34866","LIMK2"
"34867","PIK3IP1"
"34868","PIK3IP1-AS1"
"34869","PATZ1"
"34870","LINC01521"
"34871","DRG1"
"34872","EIF4ENIF1"
"34873","AL096701.3"
"34874","SFI1"
"34875","AL096701.4"
"34876","PISD"
"34877","PRR14L"
"34878","DEPDC5"
"34879","C22orf24"
"34880","YWHAH"
"34881","AL008719.1"
"34882","LINC02558"
"34883","SLC5A1"
"34884","Z83839.2"
"34885","C22orf42"
"34886","AL008723.1"
"34887","RFPL2"
"34888","IGLCOR22-1"
"34889","SLC5A4-AS1"
"34890","SLC5A4"
"34891","AL008723.2"
"34892","AL021937.3"
"34893","RFPL3"
"34894","IGLCOR22-2"
"34895","RFPL3S"
"34896","IGLVIVOR22-2"
"34897","AL021937.4"
"34898","RTCB"
"34899","BPIFC"
"34900","FBXO7"
"34901","SYN3"
"34902","Z82246.1"
"34903","Z73495.1"
"34904","TIMP3"
"34905","LINC01640"
"34906","Z82198.1"
"34907","LARGE1"
"34908","Z82198.2"
"34909","Z82173.1"
"34910","LARGE-IT1"
"34911","LARGE-AS1"
"34912","Z73429.1"
"34913","LINC01643"
"34914","Z68323.1"
"34915","AL021877.2"
"34916","Z82196.1"
"34917","Z82196.2"
"34918","AL024495.1"
"34919","ISX"
"34920","Z99755.2"
"34921","HMGXB4"
"34922","AL008635.1"
"34923","TOM1"
"34924","Z82244.2"
"34925","Z82244.1"
"34926","HMOX1"
"34927","MCM5"
"34928","AL022334.2"
"34929","RASD2"
"34930","MB"
"34931","AL049747.1"
"34932","APOL6"
"34933","AL049748.1"
"34934","APOL5"
"34935","RBFOX2"
"34936","Z82217.1"
"34937","Z95114.4"
"34938","Z95114.1"
"34939","Z95114.2"
"34940","APOL3"
"34941","APOL4"
"34942","APOL2"
"34943","APOL1"
"34944","MYH9"
"34945","Z82215.1"
"34946","FO393418.1"
"34947","AL022313.2"
"34948","TXN2"
"34949","FOXRED2"
"34950","EIF3D"
"34951","AL022313.3"
"34952","AL022313.4"
"34953","CACNG2"
"34954","AL049749.1"
"34955","Z80897.2"
"34956","IFT27"
"34957","Z80897.1"
"34958","PVALB"
"34959","Z82185.1"
"34960","NCF4-AS1"
"34961","NCF4"
"34962","CSF2RB"
"34963","Z82180.1"
"34964","TEX33"
"34965","TST"
"34966","MPST"
"34967","Z73420.1"
"34968","KCTD17"
"34969","TMPRSS6"
"34970","AL022314.1"
"34971","IL2RB"
"34972","Z82188.2"
