"","rownames.merged.gut...RNA....counts."
"855","HEYL"
"856","AL035404.2"
"857","NT5C1A"
"858","HPCAL4"
"859","PPIE"
"860","BMP8B"
"861","OXCT2"
"862","BMP8B-AS1"
"863","AL033527.3"
"864","AL033527.4"
"865","LINC02811"
"866","TRIT1"
"867","MYCL"
"868","AL033527.2"
"869","MFSD2A"
"870","CAP1"
"871","PPT1"
"872","RLF"
"873","TMCO2"
"874","AL050341.2"
"875","ZMPSTE24"
"876","COL9A2"
"877","SMAP2"
"878","AL031985.4"
"879","ZFP69B"
"880","AL031985.3"
"881","ZFP69"
"882","AL603839.3"
"883","EXO5"
"884","AL603839.1"
"885","AL603839.2"
"886","ZNF684"
"887","AL356379.2"
"888","RIMS3"
"889","AL031289.2"
"890","AL031289.1"
"891","NFYC-AS1"
"892","NFYC"
"893","KCNQ4"
"894","CITED4"
"895","AC119677.1"
"896","AL391730.2"
"897","CTPS1"
"898","SLFNL1-AS1"
"899","SLFNL1"
"900","SCMH1"
"901","AC093151.8"
"902","AC093151.3"
"903","FOXO6"
"904","AC093151.2"
"905","EDN2"
"906","HIVEP3"
"907","AL445933.2"
"908","AC119676.1"
"909","AL158216.1"
"910","GUCA2B"
"911","GUCA2A"
"912","FOXJ3"
"913","AC096540.1"
"914","RIMKLA"
"915","ZMYND12"
"916","PPCS"
"917","CCDC30"
"918","PPIH"
"919","AC098484.4"
"920","AC098484.2"
"921","YBX1"
"922","CLDN19"
"923","P3H1"
"924","C1orf50"
"925","AC098484.1"
"926","TMEM269"
"927","SVBP"
"928","ERMAP"
"929","AL512353.1"
"930","ZNF691"
"931","SLC2A1"
"932","SLC2A1-AS1"
"933","AC099795.1"
"934","FAM183A"
"935","EBNA1BP2"
"936","CFAP57"
"937","TMEM125"
"938","C1orf210"
"939","TIE1"
"940","MPL"
"941","AL139289.3"
"942","AL139289.2"
"943","CDC20"
"944","ELOVL1"
"945","MED8"
"946","AL139289.1"
"947","SZT2"
"948","SZT2-AS1"
"949","HYI"
"950","HYI-AS1"
"951","PTPRF"
"952","KDM4A"
"953","KDM4A-AS1"
"954","ST3GAL3"
"955","AL451062.1"
"956","ARTN"
"957","AL357079.1"
"958","IPO13"
"959","AL357079.2"
"960","DPH2"
"961","ATP6V0B"
"962","B4GALT2"
"963","CCDC24"
"964","SLC6A9"
"965","AL139220.2"
"966","KLF17"
"967","KLF18"
"968","DMAP1"
"969","ERI3"
"970","ERI3-IT1"
"971","RNF220"
"972","TMEM53"
"973","ARMH1"
"974","KIF2C"
"975","AL592166.1"
"976","RPS8"
"977","BEST4"
"978","PLK3"
"979","TCTEX1D4"
"980","BTBD19"
"981","PTCH2"
"982","EIF2B3"
"983","HECTD3"
"984","UROD"
"985","ZSWIM5"
"986","LINC01144"
"987","HPDL"
"988","MUTYH"
"989","TOE1"
"990","TESK2"
"991","CCDC163"
"992","MMACHC"
"993","PRDX1"
"994","AKR1A1"
"995","NASP"
"996","CCDC17"
"997","GPBP1L1"
"998","TMEM69"
"999","IPP"
"1000","AL604028.1"
"1001","MAST2"
"1002","PIK3R3"
"1003","AL358075.1"
"1004","AL358075.2"
"1005","TSPAN1"
"1006","P3R3URF"
"1007","POMGNT1"
"1008","LURAP1"
"1009","RAD54L"
"1010","LRRC41"
"1011","UQCRH"
"1012","NSUN4"
"1013","FAAH"
"1014","LINC01398"
"1015","DMBX1"
"1016","TMEM275"
"1017","MKNK1-AS1"
"1018","KNCN"
"1019","MKNK1"
"1020","MOB3C"
"1021","ATPAF1"
"1022","TEX38"
"1023","EFCAB14-AS1"
"1024","EFCAB14"
"1025","CYP4B1"
"1026","CYP4A11"
"1027","CYP4X1"
"1028","CYP4Z1"
"1029","CYP4A22-AS1"
"1030","CYP4A22"
"1031","LINC00853"
"1032","PDZK1IP1"
"1033","TAL1"
"1034","AL135960.1"
"1035","STIL"
"1036","CMPK1"
"1037","LINC01389"
"1038","FOXE3"
"1039","FOXD2-AS1"
"1040","FOXD2"
"1041","LINC01738"
"1042","TRABD2B"
"1043","AL691459.1"
"1044","AC096541.1"
"1045","LINC02794"
"1046","AL356289.1"
"1047","AL109659.1"
"1048","SLC5A9"
"1049","AL109659.2"
"1050","SPATA6"
"1051","AGBL4"
"1052","AL391844.1"
"1053","BEND5"
"1054","AL645507.1"
"1055","AC099788.1"
"1056","AL590432.1"
"1057","AGBL4-IT1"
"1058","ELAVL4"
"1059","AL592182.2"
"1060","AL592182.1"
"1061","LINC02808"
"1062","AL592182.3"
"1063","DMRTA2"
"1064","AL049637.2"
"1065","FAF1"
"1066","AL049637.1"
"1067","CDKN2C"
"1068","C1orf185"
"1069","LINC01562"
"1070","RNF11"
"1071","AL162430.2"
"1072","TTC39A"
"1073","TTC39A-AS1"
"1074","EPS15"
"1075","AC104170.2"
"1076","AC104170.1"
"1077","OSBPL9"
"1078","NRDC"
"1079","AL050343.2"
"1080","AL050343.3"
"1081","RAB3B"
"1082","TXNDC12"
"1083","KTI12"
"1084","AL445685.1"
"1085","TXNDC12-AS1"
"1086","BTF3L4"
"1087","ZFYVE9"
"1088","CC2D1B"
"1089","AL513218.1"
"1090","AL513218.2"
"1091","ORC1"
"1092","PRPF38A"
"1093","TUT4"
"1094","AL591167.1"
"1095","GPX7"
"1096","SHISAL2A"
"1097","COA7"
"1098","ZYG11B"
"1099","ZYG11A"
"1100","AC099677.4"
"1101","ECHDC2"
"1102","SCP2"
"1103","PODN"
"1104","AL445183.1"
"1105","SLC1A7"
"1106","AL445183.2"
"1107","CPT2"
"1108","AL606760.2"
"1109","CZIB"
"1110","AL606760.3"
"1111","MAGOH"
"1112","AL606760.1"
"1113","LRP8"
"1114","AL355483.3"
"1115","AL355483.1"
"1116","AL355483.2"
"1117","LINC01771"
"1118","AC119428.2"
"1119","AC119428.1"
"1120","LINC02812"
"1121","DMRTB1"
"1122","GLIS1"
"1123","NDC1"
"1124","YIPF1"
"1125","DIO1"
"1126","HSPB11"
"1127","LRRC42"
"1128","LDLRAD1"
"1129","TMEM59"
"1130","TCEANC2"
"1131","CDCP2"
"1132","AL357673.2"
"1133","CYB5RL"
"1134","MRPL37"
"1135","SSBP3"
